Table 1
Question,Question type,Comment,,
Name,free text,,,
Email,free text,,,
Location,Dropdown menu:,"National project, but good to capture location for regional inclusion",,
,England,,,
,Scotland,,,
,Wales,,,
,Northern Ireland,,,
Age,Dropdown menu:,"eligibilty 18 and above, diversity age",,
,18-25,"text to say, we are asking to make sure that as many age groups as possible will havs a chance to co-produce this resource",,
,26-45,,,
,46-65,,,
,66-85,,,
,>85,,,
Ethnicity,Drowdown menu:,OPTIONAL,,
,White ,"text to say, we are asking this to ensure equal opportunities and diversity",,
,Mixed or Multiple ethnic groups ,( according to the Office for National Statistics (ONS) Harmonised Standard),,
,Asian or Asian British,,,
,"Black, Black British, Caribbean or African",,,
,Other ethnic group (e.g. Arab),,,
,Prefer not to say,,,
I am,Tick box (please tick all that apply),,,
,Person with lived experience of a mental health condition,,,
,Carer or relative for someone with a mental health condition,,,
,Health professional,,,
,Industry or biotech professional,,,
,Other ,,,
Why would you like to contribute?,free text,max 200 words,,
What knowledge or experience do you have that you think may be helpful to this project?,free text,max 200 words,,
Do you have previous experience from community engagement or a patient focus group?,Tick box with age range:,"text to say, we are not requiring any experience ",,
,Yes,,,
,No,,,
,Prefer not to say,,,
How would you like to be involved? ,Tick box with tasks,"text to say, select one more task",,
,1. Conversations with science: helping AI to unlock the biology of mental health for public understanding (2026-2027),text to show the 4 tasks and add more info och each and why,,
,2. Clues in the records: deciding what matters most in hospital & GP data (2027-2028),,,
,"3. The Co-Pilot Study: leading a team-based mental health analysis, with questions driven by lived experience (2029)",,,
,,,,
Do you have any additional skills you think you could bring to the project?  (e.g website design),free text ,max 200 words,,
I consent to be contacted in relation to this project. ,tick box,,,
,yes,,,
,no,,,
,,,,
I consent for my data (the information in this form) to be stored securely within the University environment. ,tick box,,,
,yes,,,
,no,,,
